TemperatureOffset_C,ScenarioMeanTemperature_C,FixedRouteEnergy_kWh,FixedRouteDeltaE_kWh,FixedRouteDeltaE_percent,ReoptimizedEnergy_kWh,ReoptimizedDeltaE_kWh,ReoptimizedDeltaE_percent,RouteChanged,EnergyEquivalentRouteChange,ReoptimizationEnergySaving_kWh,RouteChangeInterpretation,ReoptimizedRoute,FixedRouteSolverStatus,ReoptimizedSolverStatus,FixedRouteSolverTime_s,ReoptimizedSolverTime_s,ReoptimizedYALMIPTime_s,ReoptimizedOptimizeWallTime_s,FixedRouteEndToEndTime_s,ReoptimizedEndToEndTime_s,ReoptimizedNetMemoryChange_MB
-5,21.1278924948906,100.537580493578,-12.8200315346692,-11.3093697946589,96.14019060237,-17.2174214258774,-15.1885886777387,1,0,4.39738989120815,Alternative route with lower energy,1 -> 2 -> 6 -> 10 -> 15,Optimal,Optimal,0.0349453,2.7106129,0.4013871,3.1159525,3.9957554,6.9855348,67.66015625
-4,22.1278924948906,101.090079096845,-12.2675329314019,-10.8219754385307,98.5008332071704,-14.8567788210769,-13.1061148477394,1,0,2.58924588967506,Alternative route with lower energy,1 -> 2 -> 6 -> 10 -> 15,Optimal,Optimal,0.0431995,2.6307359,0.371264099999999,3.0070713,3.9107486,6.4041681,-74.671875
-3,23.1278924948906,102.652908598468,-10.7047034297789,-9.44330357551236,101.977271367526,-11.3803406607209,-10.0393263911427,1,0,0.67563723094203,Alternative route with lower energy,1 -> 2 -> 6 -> 10 -> 15,Optimal,Optimal,0.0404405,2.987837,0.397163000000002,3.3920882,4.0878936,7.4865435,-44.55078125
-2,24.1278924948906,105.389324766758,-7.96828726148929,-7.02933585042678,105.389324766758,-7.96828726148929,-7.02933585042678,0,0,0,Reference route retained,1 -> 2 -> 11 -> 14 -> 15,Optimal,Optimal,0.0426081,3.0188641,0.375135900000005,3.4023059,3.8471108,6.9340709,47.7421875
-1,25.1278924948906,108.913975553327,-4.44363647492023,-3.92001595253517,108.913975553327,-4.44363647492023,-3.92001595253517,0,0,0,Reference route retained,1 -> 2 -> 11 -> 14 -> 15,Optimal,Optimal,0.0364306,3.0018443,0.380155699999998,3.3888184,3.88689,7.1116395,42.8515625
0,26.1278924948906,113.357612028247,0,0,113.357612028247,0,0,0,0,0,Reference route retained,1 -> 2 -> 11 -> 14 -> 15,Optimal,Optimal,3.1344558,3.1344558,0.4995442,3.6413055,7.222801,7.222801,41.09375
1,27.1278924948906,118.005920976972,4.64830894872433,4.10057063266826,118.005920976972,4.64830894872433,4.10057063266826,0,0,0,Reference route retained,1 -> 2 -> 11 -> 14 -> 15,Optimal,Optimal,0.0400315,2.7859592,0.368040799999996,3.1625774,3.7989086,6.6141754,-13.91015625
2,28.1278924948906,119.998658,6.6410459717526,5.8584914174954,119.923711333333,6.56609930508593,5.792376169189,1,0,0.0749466666666763,Alternative route with lower energy,1 -> 2 -> 6 -> 12 -> 15,Optimal,Optimal,0.035105,3.1004921,0.379507899999999,3.490832,3.900511,7.2254871,37.921875
3,29.1278924948906,119.998658,6.6410459717526,5.8584914174954,119.923711333333,6.56609930508593,5.792376169189,1,0,0.0749466666666763,Alternative route with lower energy,1 -> 2 -> 6 -> 12 -> 15,Optimal,Optimal,0.0359701,2.937507,0.446493,3.3955119,3.8156097,7.0252177,-11.9375
4,30.1278924948906,119.998658,6.6410459717526,5.8584914174954,119.923711333333,6.56609930508593,5.792376169189,1,0,0.0749466666666763,Alternative route with lower energy,1 -> 2 -> 6 -> 12 -> 15,Optimal,Optimal,0.0412933,2.7216871,0.386312900000001,3.1174026,4.3198733,6.5548273,-14.703125
5,31.1278924948906,119.998658,6.6410459717526,5.8584914174954,119.923711333333,6.56609930508593,5.792376169189,1,0,0.0749466666666763,Alternative route with lower energy,1 -> 2 -> 6 -> 12 -> 15,Optimal,Optimal,0.0384205,2.7627257,0.4902743,3.2686574,4.1509784,6.9739578,-12.74609375
